6456914,"Takei, George","General Hospital","Diem (1985)",5
6457004,"Takenaka, Naoto","Ijô no hitobito: Densetsuno nijino sankyôdai (1993)","",1
6457367,"Tal, Erez","Kasefet, Ha-","Host",1
6457422,"Talamo, Adonios","General Hospital","Morgan Stone Corinthos [#1] (2003-2004)",-1
6457432,"Talamo, Isador","General Hospital","Morgan Stone Corinthos [#1] (2003-2004)",-1
6459487,"Tamele","Premiere (1936)","5. Autor",-1
6459856,"Tammi, Tom","Edge of Night, The","Logan 'Swifty' Swift #2 (1984)",11
6460061,"Tamura, Takahiro","Yorokobi mo kanashimi mo ikutoshitsuki (1957)","Mr. Nozu",3
6460705,"Tanaka, Nobuo (I)","Kôsoku sentai Tâborenjâ","Narrator",-1
6460742,"Tanaka, Russ","Cry for Help: The Tracey Thurman Story, A (1989) (TV)","Ambulance Attendant",37
6461804,"Tannen, Charles (I)","Tall, Dark and Handsome (1941)","",-1
6461957,"Tannen, William (I)","Grand Central Murder (1942)","Second Railroad Yardman",-1
6462022,"Tannen, William (I)","Respect the Law (1941)","Mark, Terriss's Associate",-1
6462247,"Tanner, Richard","General Hospital","Mark Cerullo (1994)",5
6462542,"Tanzini, Philip","General Hospital","Jeremy Hewitt Logan (1978-1982)",5
6463523,"Tardiff, Jamie","Pick-up, The (1999)","Country Lady",4
6463726,"Taris, Jacques","Point douloureux, Le (1979)","L'homme Parking",13
6464632,"Tasche, Christian","Tatort - Willkommen in Köln (1997) (TV)","Staatsanwalt von Prinz",8
6465079,"Tata, Joe E.","General Hospital","Rudy King (1987)",5
6465690,"Tataryn, Sean","Boys of St. Vincent, The (1992) (TV)","Boy of St. Vincent",21
6466348,"Tavbe, Finn","Ta' det som en mand, frue! (1975)","",40
6467150,"Taylor, Brian (VI)","General Hospital","Chemist",5
6467280,"Taylor, Charles (IV)","Edge of Night, The","George Murray (1956)",11
6468319,"Taylor, Frank Hoyt","Bobby Jones, Stroke of Genius (2004)","Reporter",-1
6468488,"Taylor, Henry (I)","Big Idea, The (1934)","Radio Rogue Imitating Bing Crosby",-1
6470281,"Taylor, Tommy","Harvest (1953) (TV)","Kip",11
6470326,"Taylor, Vaughn (I)","Harvest (1953) (TV)","Gramps",4
6471566,"Tebar, Óscar","Trois couronnes du matelot, Les (1983)","",-1
6472122,"Tedeschi, Tony","Terminal Case of Love (1998) (V)","",-1
6472211,"Tedlie, Dan","Egoists, The (2003)","Max Tripp",6
6472579,"Teixeira, Carlos José","Amants du Tage, Les (1955)","",7
6472806,"Tejada, Manuel (I)","Verano azul","Agustín",10
5490980,"Jovicic, Dragan","Koze","",1
6479176,"Testa, Eugenio","Familia Vila, La (1950)","Don Cosme",-1
6479283,"Testi, Fabio","Revolver: Calling the Shots (2002) (V)","Himself",-1
6478113,"Tew, Archie","General Hospital","Dr, Mayhew",-1
6478211,"Teynac, Maurice","Illusion in Moll (1952)","Night Club Singer Herr Gidou",4
6478751,"Thane, Gibson","Dame von Paris, Die (1927)","",-1
6479557,"Thauvette, Guy","Sous les draps, les étoiles (1989)","",-1
6479888,"Thein, Ulrich","Traum des Hauptmann Loy, Der (1961)","Eddy Sharp",3
6480118,"Theodore, Robert (I)","Highway 61 (1991)","Rock Band Manager",28
6480154,"Theoharous, Theodore","Edge of Night, The","Hospital Intern (1966)",11
6480490,"Thiam, Xavier","Don Juan (1998)","La Ramée",15
6480714,"Thicke, Alan","Anarchy TV (1997)","Reverend Wright",7
6480997,"Thieme, Thomas","Tatort - Willkommen in Köln (1997) (TV)","Busch",4
6481032,"Thierry, Lucas","Parfois trop d'amour (1992)","",-1
6481066,"Thies, Udo","Tatort - Kindstod (2001) (TV)","Sozialarbeiter",15
6481292,"Thimig, Hermann","Tänzer meiner Frau, Der (1925)","Der Diener",7
6481362,"Thinnes, Roy","General Hospital","Dr. Phil Brewer #1 (1963-1966) (original cast)",5
6481610,"Thom, Bob","They Won't Believe Me (1947)","Hotel Clerk",-1
6481631,"Thom, Peter (I)","Geheime Lüste blutjunger Mädchen (1978)","Diener Pepi",-1
6481651,"Thoma, Carl","Edge of Night, The","Moss (1973)",11
6481787,"Thomalla, Georg","Meister Eder und sein Pumuckl","Preisslkofer",-1
6481895,"Thomas, Alex (III)","Tony's Big Brother (1993) (V)","",7
6482553,"Thomas, Billie 'Buckwheat'","Our Gang Follies of 1936 (1935)","Buckwheat",-1
6482006,"Thomas, Dean Milor","Lionheart (1990)","BMW Passenger #2",56
6483377,"Thomas, Jonathan Taylor","Bradys, The","Kevin Brady",-1
6483768,"Thomas, Paul (I)","Addicted to Love (1988)","",-1
6483991,"Thomas, Paul (I)","Swedish Erotica 4 (1981)","",-1
6484282,"Thomas, Richard (I)","Edge of Night, The","Ben Schultz, Jr. (1961)",11
6484544,"Thomas, Terry (II)","Bikini Beach (1993) (V)","",-1
6484806,"Thomason, C.J.","General Hospital","Lucas Stansbury Jones #8 (2002-2003)",5
6484941,"Thome, Keath","Critical Assembly (2003) (TV)","Guard",-1
6485099,"Thomerson, Tim","Some Kind of Hero (1982)","Cal",12
6485138,"Thomey, Greg","Boys of St. Vincent, The (1992) (TV)","Brother Glackin",10
6485139,"Thomey, Greg","John and the Missus (1987)","Jimmy Ludlow",20
6485519,"Thompson, Brian (I)","Lionheart (1990)","Russell",6
6485546,"Thompson, Brian (IV)","Fleshtones (1985) (V)","",3
6473267,"Telfer, David","Not a Penny More, Not a Penny Less (1990) (TV)","Workman",-1
6473516,"Tellini, Massimo","Amore imperfetto, L' (2002)","Driver Cop",-1
6474151,"Tenbrook, Harry","I Was a Communist for the FBI (1951)","Spectator at Senate Hearing",-1
6474878,"Teo (II)","Asian Street Hookers 26 (2002) (V)","Himself (Teo)",-1
6475265,"Terajima, Mitsugu","Oushou (1948)","",7
6475408,"Terei, Pio","Intrepid Journeys","Himself (host)",4
6476348,"Terrell, Ken","I Was a Communist for the FBI (1951)","Communist Good Agitator",-1
6477222,"Terry-Thomas","Quiet Wedding (1941)","Extra",-1
6477322,"Tertzarian, Krikor","Real Bullets (1990)","Sallini's Goon",30
6477775,"Teschner, Lutz","Tatort - Tod aus der Vergangenheit (1992) (TV)","Roller",19
6479014,"Tessen, Robert","Tatort - Mord im Ministerium (1974) (TV)","Wiesiewicz",-1
6479021,"Tesser, Osvaldo","Titanes en el ring contraataca (1983)","",-1
6489429,"Thring, Frank (I)","Ned Kelly (1970)","Judge Barry",5
6489473,"Throne, Malachi","Greatest, The (1977)","Payton Jory",-1
6489852,"Thunderwolf","Lionheart (1990)","Street Gang Member #4",51
6490022,"Tiainen, Jarkko","Angela ja ajan tuulet","Tohtori Virta",-1
6490046,"Tian, Lie","Huan le ren jian (1959)","Old Mr. Wei",-1
6490223,"Tibet, Kartal","Karaoglan - Camoka'nin intikami (1966)","Karaoglan",1
6491332,"Tiedtke, Jakob","Provinzonkel, Der (1926)","",-1
6491535,"Tien, Feng","Zhong huan ying xiong (1991)","Yip Chi-Mei",-1
6491835,"Tierney, John (I)","They Nest (2000) (TV)","Fisherman #1",19
6492840,"Tijori, Deepak","Santaan (1993)","Amar Singh",3
6492019,"Tiler, Scott","Flying Blind (1990) (TV)","",8
6492098,"Tiller, Hans","Perle von Tokay, Die (1953)","",17
6492129,"Tilley, Colin (I)","Ned Kelly (1970)","Bank Clerk",-1
6493628,"Timsit, Patrick","À la vitesse d'un cheval au galop (1992)","Le trouble-fête",30
6493756,"Tindberg, Svein","SøndagsÅpent","Leser bibeltekster (1998-1999)",-1
6494584,"Tinling, Ted","Edge of Night, The","Vic Lamont (1969-1975)",11
6494596,"Tinn, Lee","Man from New Mexico, The (1932)","Ching",14
6495014,"Tipton, Ken","Unstrung Heroes (1995)","Additional Voices",-1
6495778,"Tkalenko, Alex","Rebaño, El (1997)","",5
6495782,"Tkebuchava, A.","Chirveuli mezoblebi (1945)","Tengizi",6
6495960,"Tobaruela, Álvaro","Marta y alrededores (1999)","Fer",-1
6498069,"Toetzke, Berthold","Tatort - Kein Kinderspiel (1980) (TV)","",19
6498339,"Tognazzi, Gianmarco","Miei più cari amici, I (1998)","",-1
6498716,"Toivonen, Kari-Pekka","Angela ja ajan tuulet","Bengt Granberg",-1
6498935,"Tokmakchiev, Toncho","Ispanska muha (1998)","Itzeto Stoichkov",10
6501221,"Tomlinson, David (I)","Quiet Wedding (1941)","John Royd",8
6501783,"Tone, Ben","Virginian, The (2000) (TV)","Quinces",32
6502369,"Tono, Eijirô","Akitsu onsen (1962)","Priest",-1
6502519,"Tono, Eijirô","Zoku Showa hito keta shachô tai futaketa shain: Getsu-getsu kasui moku kinkin (1971)","",3
6502540,"Tonoyama, Taiji","Akitsu onsen (1962)","Rokusuke",-1
6503329,"Toones, Fred 'Snowflake'","Tall, Dark and Handsome (1941)","",-1
6503642,"Topatan, Ahmet Danyal","Karaoglan - Camoka'nin intikami (1966)","Camoka",3
