4012154,"Lawrence, Delphi","Man Who Could Cheat Death, The (1959)","Margo Phillipe",5
4012191,"Lawrence, Elizabeth (I)","Edge of Night, The","Constance Johnson (1961-1963)",11
4013060,"Lawson, Kate Drain","Torchy Plays with Dynamite (1939)","County Jail Guard",-1
4013284,"Laxmi (I)","1857 (1946)","",-1
4013525,"Layne, Mary","Edge of Night, The","Camilla Devereaux (1983)",11
4013809,"Lazareno, Norma","Valentina","Alicia",-1
4015076,"Leachman, Cloris","Muppet Movie, The (1979)","Lord's Secretary",17
4015405,"Leal, Ângela","Semideus, O","Carmem",-1
4015452,"Leander, Zarah","Premiere (1936)","Carmen Daviot",1
4015544,"Leardini, Christina","Anarchy TV (1997)","Anchorperson",26
4015603,"Learn, Bessie","Unsullied Shield, An (1913)","",5
4015752,"Leavy, Donna Lynn","General Hospital","Vanessa (1991)",5
4016030,"Leblanc, Libertad","Perra, La (1967)","Renee de Johnson",1
4016544,"Leclerc, Ginette","Amants du Tage, Les (1955)","Maria",9
4016547,"Leclerc, Ginette","Bach détective (1936)","Zita",8
4016772,"Ledbetter, Bertha","They Won't Believe Me (1947)","Mrs. Oaks",-1
4017082,"Ledoyen, Germaine","Josse (1974) (TV)","Mme Jessicaud",4
4017511,"Lee, Anna (I)","General Hospital","Lila Quartermaine (1978-present)",5
4017623,"Lee, Bin-hwa","Mulmangcho (1960)","",3
4017958,"Lee, Dorothy (I)","Laddie (1940)","Bridesmaid",-1
4017985,"Lee, Dottie","New Orleans After Dark (1958)","Stripper",-1
4018318,"Lee, Hae-rang","Korea (1954)","",4
4018413,"Lee, Heather (II)","Weekend In Diego (2000) (V)","",-1
4018550,"Lee, Hyo-jeong (II)","Jeolbeun poong gin ibyeol (1984)","",2
4019114,"Lee, Kelly (III)","Swami MD #1: Coming to America (1999) (V)","",-1
4019201,"Lee, Lela","Rave (2000)","Lisa",7
4020725,"Lee, Stefani","General Hospital","Young girl (2001-present)",5
4020968,"Lee, Virginia Ann","General Hospital","Mai-Lin (1974)",5
4021286,"Leeds, Elissa","Edge of Night, The","Lisa (1976)",11
4021362,"Leela","1857 (1946)","",-1
4021527,"Lees, Tamara","Vita da cani (1950)","Franca",4
4021636,"Leeves, Jane","Pandora's Clock (1996) (TV)","Rachel Sherwood",3
4021741,"Lefko, Camille","Tempest (1982)","Guard",-1
4021946,"Legarreta, Andrea","Valentina","",-1
4022019,"Leger, Cecilia","Amantes frios, Los (1978)","Anciana (""Los Amantes frios"")",29
4022038,"Leger, Cecilia","Club de señoritas (1956)","",-1
4023318,"Leigh, Cricket","Terra (2003)","Mala",-1
4023740,"Leigh, Kasey","Bobby Jones, Stroke of Genius (2004)","Coed No. 2",40
4024288,"Leighton, Roberta","General Hospital","Shirley Pickett (1983)",5
4024509,"Leist, Bernardine Prissi","Edge of Night, The","Dr. Phoebe Smith Jameson #4 (1972-1976)",11
4024558,"Leite, Ana Maria","Em Cada Coração um Punhal (1970)","(segment ""O Filho da Televisão"")",12
4024726,"Leitão, Maria Celeste","Pai Tirano, O (1941)","",18
4025309,"Lemerdy, Edith","Quand on est amoureux c'est merveilleux (1999)","",-1
4025872,"Lenard, Grace","I Was a Communist for the FBI (1951)","Wife",-1
4026649,"Lenz, Kay","Gun, a Car, a Blonde, A (1997)","Peep/Madge",3
4027491,"Leonhard, Sandra","Nacht, in der ganz ehrlich überhaupt niemand Sex hatte, Die (2002) (TV)","Doris",4
4027673,"Leopold, Ethelreda","Andy Clyde Gets Spring Chicken (1939)","",9
4027818,"Lepe, Ana Bertha","Ladrona, La (1954)","",6
4027950,"Lepori, Gabriella","Dottoressa sotto il lenzuolo, La (1976)","",10
4027982,"Leppard, Jean","Love Potion (1987)","Nurse Rached",9
4028808,"Lerel, Laurence","Parfum d'Yvonne, Le (1994)","Cintra Barmaid",21
4028985,"LeRoy, Zoaunne","Unstrung Heroes (1995)","Mrs. Kantruitz",17
4029213,"Leska, Rita","Gesundheit (1978) (TV)","",-1
4028423,"Leslie, Joan","Northwest Stampede (1948)","Christine 'Honey' Johnson",1
4028631,"Lesniak, Ewa","Moje miasto (2002) (TV)","Jezierska",11
4029298,"Lester, Eleese","Warning: Parental Advisory (2002) (TV)","PMRC Receptionist",24
4029444,"Lester, Lidia","For the Good of Her Men (1912)","The Mother",5
4029508,"Lester, Vickie","Tall, Dark and Handsome (1941)","Sales Girl",20
4029614,"Letherman, Lindze","General Hospital","Georgianna 'Georgie' Jones #5 (2002-present)",5
4029690,"Lettich, Micheline","Lionheart (1990)","Homeless Child",33
4029731,"Leung, Angela","Jin ye bu she fang","Guest",-1
4030098,"Leveridge, Lynn Ann","Edge of Night, The","Tango Humphries #2 (1970)",11
